accuracy,loss,val_accuracy,val_loss
0.2867000102996826,1.9579668045043945,0.40209999680519104,1.6789547204971313
0.4031749963760376,1.6794871091842651,0.47690001130104065,1.5065048933029175
0.4466499984264374,1.5930194854736328,0.5062000155448914,1.4917705059051514
0.47464999556541443,1.5400352478027344,0.5361999869346619,1.3903391361236572
0.49514999985694885,1.5105912685394287,0.520799994468689,1.4292752742767334
0.5164750218391418,1.480207085609436,0.5677000284194946,1.3719335794448853
0.5271250009536743,1.4546241760253906,0.5551999807357788,1.412652850151062
0.5398499965667725,1.42930269241333,0.5580999851226807,1.4392768144607544
0.5563750267028809,1.399623155593872,0.5708000063896179,1.4044798612594604
0.5679749846458435,1.3814767599105835,0.6129000186920166,1.276065468788147
0.5895500183105469,1.323573112487793,0.6244000196456909,1.2168188095092773
0.6003000140190125,1.2981903553009033,0.6417999863624573,1.1995975971221924
0.6173999905586243,1.25234055519104,0.6353999972343445,1.2158217430114746
0.6298249959945679,1.2097434997558594,0.6492999792098999,1.1923089027404785
0.6454499959945679,1.171571135520935,0.6585999727249146,1.1526044607162476
0.6572250127792358,1.1388189792633057,0.6816999912261963,1.0617228746414185
0.6691499948501587,1.101352334022522,0.6876999735832214,1.0652214288711548
0.684149980545044,1.0615558624267578,0.6958000063896179,1.0350654125213623
0.6977249979972839,1.0174773931503296,0.699999988079071,1.0330479145050049
0.705299973487854,0.985892117023468,0.7087000012397766,1.0066046714782715
0.7233250141143799,0.9443795680999756,0.7081000208854675,1.0223379135131836
0.731024980545044,0.9185766577720642,0.7236999869346619,0.989057719707489
0.7387250065803528,0.8914347887039185,0.7265999913215637,0.9833844900131226
0.7490249872207642,0.8617426753044128,0.7379000186920166,0.9213313460350037
0.7573000192642212,0.8333495259284973,0.7552000284194946,0.87863689661026
0.7607750296592712,0.8180084824562073,0.7544999718666077,0.8821461796760559
0.7689999938011169,0.7983531951904297,0.7519000172615051,0.8770643472671509
0.7732999920845032,0.7870144844055176,0.7554000020027161,0.8680400252342224
0.7732999920845032,0.7820481657981873,0.7578999996185303,0.857491672039032
0.7756999731063843,0.7778659462928772,0.7545999884605408,0.8524703979492188
