accuracy,loss,val_accuracy,val_loss,learning_rate
0.36112499237060547,1.7383350133895874,0.510699987411499,1.3357031345367432,0.0010000000474974513
0.503000020980835,1.3922889232635498,0.5532000064849854,1.267991304397583,0.0010000000474974513
0.5603749752044678,1.245458960533142,0.6295999884605408,1.0656373500823975,0.0010000000474974513
0.5932999849319458,1.151506781578064,0.642300009727478,1.0220297574996948,0.0010000000474974513
0.6225249767303467,1.0862884521484375,0.6718999743461609,0.9347440600395203,0.0010000000474974513
0.643750011920929,1.0297733545303345,0.6675999760627747,0.9614643454551697,0.0010000000474974513
0.6578750014305115,0.9855698347091675,0.7081999778747559,0.8501902222633362,0.0010000000474974513
0.671500027179718,0.9468172788619995,0.7103000283241272,0.8486704230308533,0.0010000000474974513
0.6827499866485596,0.9133509993553162,0.7103000283241272,0.8591143488883972,0.0010000000474974513
0.6940000057220459,0.884498119354248,0.6970999836921692,0.900702953338623,0.0010000000474974513
0.7011500000953674,0.8638089895248413,0.7168999910354614,0.838296115398407,0.0010000000474974513
0.7083250284194946,0.8408045768737793,0.7193999886512756,0.8352164030075073,0.0010000000474974513
0.7116000056266785,0.8260259628295898,0.722100019454956,0.8019607663154602,0.0010000000474974513
0.7228000164031982,0.8045136332511902,0.7407000064849854,0.7500799894332886,0.0010000000474974513
0.7288749814033508,0.7877144813537598,0.733299970626831,0.7856858372688293,0.0010000000474974513
0.7345250248908997,0.7709758281707764,0.7361999750137329,0.8060912489891052,0.0010000000474974513
0.7385500073432922,0.7570421099662781,0.7368000149726868,0.7702657580375671,0.0010000000474974513
0.7635999917984009,0.6847847104072571,0.7583000063896179,0.7283682227134705,0.00020000000949949026
0.7721999883651733,0.6634436845779419,0.7547000050544739,0.7453824877738953,0.00020000000949949026
0.7711250185966492,0.6577505469322205,0.7663999795913696,0.7042033076286316,0.00020000000949949026
0.7748749852180481,0.6468409299850464,0.766700029373169,0.713067352771759,0.00020000000949949026
0.7757499814033508,0.644050121307373,0.7626000046730042,0.7154919505119324,0.00020000000949949026
0.7817000150680542,0.6314202547073364,0.7656000256538391,0.7042015790939331,0.00020000000949949026
0.7861499786376953,0.6195045113563538,0.7674000263214111,0.6923270225524902,4.0000002627493814e-05
0.7860999703407288,0.6120446920394897,0.7677000164985657,0.6909721493721008,4.0000002627493814e-05
0.7874500155448914,0.6122441291809082,0.7666000127792358,0.6950549483299255,4.0000002627493814e-05
0.7893750071525574,0.6015396118164062,0.7695000171661377,0.6877050399780273,4.0000002627493814e-05
0.7890750169754028,0.6036410331726074,0.7696999907493591,0.6950647830963135,4.0000002627493814e-05
0.7901750206947327,0.602186381816864,0.7702000141143799,0.6852935552597046,4.0000002627493814e-05
0.7945749759674072,0.5971946716308594,0.7720000147819519,0.6847836971282959,4.0000002627493814e-05
