accuracy,loss,val_accuracy,val_loss,epoch
0.1683250069618225,2.177950620651245,0.26080000400543213,2.0114877223968506,1
0.19462500512599945,2.0919432640075684,0.2825999855995178,1.9802191257476807,2
0.2070000022649765,2.077458620071411,0.29910001158714294,1.9476875066757202,3
0.21250000596046448,2.0715277194976807,0.29980000853538513,1.9401767253875732,4
0.21494999527931213,2.0658035278320312,0.30070000886917114,1.9289445877075195,5
0.21789999306201935,2.0567660331726074,0.31690001487731934,1.9185940027236938,6
0.22540000081062317,2.0390679836273193,0.31470000743865967,1.9177814722061157,7
0.22705000638961792,2.0416624546051025,0.29989999532699585,1.9398998022079468,8
0.22932499647140503,2.036149740219116,0.32580000162124634,1.909818410873413,9
0.23032499849796295,2.0347182750701904,0.3237000107765198,1.9265402555465698,10
